Mine_Name,Latitude,Longitude,State,District,Coalfield,Subsidiary,Mine_Type,Production,Year
Aadocm,23.7666344835697,85.9855209793535,Jharkhand,BOKARO,E. Bokaro,CCL,OC,2.613,2024-25
AGKCC,23.8098399390537,86.2917913877319,Jharkhand,DHANBAD,Jharia,BCCL,OC,0.02,2024-25
AKK OCP,23.7905,85.9198,Jharkhand,BOKARO,E. Bokaro,CCL,OC,5.36,2024-25
Amadand,23.1436,82.0579,Madhya Pradesh,SHAHDOL,Central India,SECL,OC,1.38,2024-25
Amera,23.0617,83.0433,Chhattisgarh,SURGUJA,Central India,SECL,OC,0.279,2024-25
Amgaon,23.1367,82.83,Chhattisgarh,SURGUJA,Central India,SECL,OC,1.0,2024-25
Amlohri,24.1417,82.5917,Madhya Pradesh,SINGRAULI,Singrauli,NCL,OC,22.003,2024-25
Ashoka,23.7297,84.9932,Jharkhand,CHATRA,N.K.Coalfields,CCL,OC,9.853,2024-25
Bagdeva,22.3863,82.535,Chhattisgarh,KORBA,Central India,SECL,UG,0.285,2024-25
Balrampur,23.6169,83.6191,Chhattisgarh,SURGUJA,Central India,SECL,UG,0.119,2024-25
Bangwar,23.1542,81.5361,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.65,2024-25
Barjora (North) Coal Mine,23.7454,87.2264,West Bengal,BANKURA,Barjora North,WBPDCL,OC,1.124,2024-25
Barmuri,23.7525,86.812,Jharkhand,DHANBAD,Mugma/Salanpur,ECL,OC,0.505,2024-25
Bastacolla,23.7634,86.4163,Jharkhand,DHANBAD,Jharia,BCCL,OC,2.099,2024-25
Bhatgaon,23.3667,83.0,Chhattisgarh,SURGUJA,Central India,SECL,UG,0.185,2024-25
Bijuri,23.2588,82.1216,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.715,2024-25
Chapuikhas Colliery,23.6545,87.0449,West Bengal,Bardhaman,Raniganj,ECL,UG,0.024,2024-25
Chhatarpur -II,22.1417,78.1,Madhya Pradesh,BETUL,Pathakhera,WCL,UG,0.052,2024-25
Chhinda,22.2083,78.8333,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,WCL,OC,0.0,2024-25
Churcha RO,23.3342,82.52,Chhattisgarh,KOREA,Central India,SECL,UG,1.408,2024-25
Damini,23.145,81.4633,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.265,2024-25
Dhanpuri,23.1541,81.5843,Madhya Pradesh,SHAHDOL,Central India,SECL,OC,0.128,2024-25
Dhori Khas(UG),23.774,86.0144,Jharkhand,BOKARO,E. Bokaro,CCL,UG,0.136,2024-25
Dipka,22.3225,82.5363,Chhattisgarh,KORBA,Central India,SECL,OC,33.417,2024-25
Ena,23.7568,86.4094,Jharkhand,DHANBAD,Jharia,BCCL,OC,2.998,2024-25
Gare Palma IV/2&3,22.1199,83.5362,Chhattisgarh,RAIGARH,Central India,SECL,OC,0.16,2024-25
Gayatri,23.1097,82.9051,Chhattisgarh,SURGUJA,Central India,SECL,UG,0.579,2024-25
"Ghonsa,",19.9647,78.8326,Maharashtra,YAVATMAL,Wardha Valley,WCL,OC,0.6,2024-25
Gidi `A',23.6833,85.3583,Jharkhand,HAZARIBAGH,S.K.Coalfields,CCL,OC,0.494,2024-25
Gidi `C',23.6967,85.3958,Jharkhand,HAZARIBAGH,S.K.Coalfields,CCL,OC,0.599,2024-25
Gopalichuck,23.7548376557167,86.364360175623,Jharkhand,DHANBAD,Jharia,BCCL,OC,0.358,2024-25
Gouri Deep,19.7741,79.2902,Maharashtra,CHANDRAPUR,Wardha,WCL,OC,0.378,2024-25
Govindpur,23.8021046616529,85.8711663311956,Jharkhand,BOKARO,E. Bokaro,CCL,UG,0.016,2024-25
Haldibari,23.2232,82.1501,Chhattisgarh,KOREA,Central India,SECL,UG,0.592,2024-25
Hariajam,23.7926,86.6903,Jharkhand,DHANBAD,Mugma/Salanpur,ECL,UG,0.047,2024-25
Hurra C,24.9867,87.3808,Jharkhand,GODDA,Rajmahal,ECL,OC,2.074,2024-25
Jampali,22.2843,83.3025,Chhattisgarh,RAIGARH,Central India,SECL,OC,3.0,2024-25
Jhiria,23.1523,82.1511,Madhya Pradesh,SHAHDOL,Central India,SECL,UG,0.189,2024-25
